"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401752800","UCLA","10","Utah","43","Utah -6.5","DraftKings","50.5","6.5","6.5","50.5","195","-238"
"401752805","Washington","38","Colorado State","21","Washington -20.5","DraftKings","52.5","-20.5","-20.5","52.5","-1450","850"
"401752832","Purdue","17","USC","33","USC -20.5","DraftKings","59.5","20.5","","","850","-1450"
"401752850","Illinois","34","USC","32","USC -6.5","DraftKings","62.5","6.5","1.5","","205","-250"
"401752851","Northwestern","17","UCLA","14","Northwestern -6","DraftKings","45.5","-6","-5.5","","-218","180"
"401752853","Iowa","15","Indiana","20","Indiana -9.5","DraftKings","47.5","9.5","3","","270","-340"
"401761594","Texas State","52","Eastern Michigan","27","Texas State -14","DraftKings","58.5","-14","-14","58.5","-600","440"
"401752936","Oregon State","15","California","34","Oregon State -3","DraftKings","51.5","-3","-3","51.5","-148","124"
"401752881","Michigan State","20","Michigan","31","Michigan -13.5","DraftKings","47.5","13.5","8.5","","390","-520"
"401760376","Miami (OH)","38","UNLV","41","UNLV -2.5","DraftKings","49.5","2.5","5.5","","110","-130"
"401762469","Army","38","North Texas","45","North Texas -2.5","DraftKings","50.5","2.5","-1.5","","120","-142"
"401762470","South Florida","63","South Carolina State","14","South Florida -36.5","DraftKings","58.5","-36.5","","","-20000","3500"
"401761613","Buffalo","17","Troy","21","Buffalo -5.5","DraftKings","43.5","-5.5","-1.5","","-225","185"
"401762820","Western Michigan","14","Toledo","13","Toledo -13.5","DraftKings","48.5","13.5","11.5","","380","-500"
"401761611","South Alabama","20","Coastal Carolina","38","South Alabama -14.5","DraftKings","51.5","-14.5","-14","","-675","490"
"401760377","Utah State","48","McNeese","7","Utah State -24.5","DraftKings","63.5","-24.5","","","-3200","1400"
"401752735","Tennessee","34","Arkansas","31","Tennessee -10","DraftKings","68.5","-10","-13.5","","-425","330"
"401752737","Texas A&M","34","Florida","17","Texas A&M -7","DraftKings","47.5","-7","-9.5","","-258","210"
"401752732","LSU","20","South Carolina","10","LSU -8.5","DraftKings","44.5","-8.5","-10.5","","-325","260"
"401754573","North Carolina","16","Virginia","17","Virginia -11.5","DraftKings","50.5","11.5","10","","340","-440"
"401756932","Kansas","17","Kansas State","42","Kansas -3.5","DraftKings","55.5","-3.5","4","","-180","150"
"401756931","Iowa State","27","BYU","41","Iowa State -2.5","DraftKings","48.5","-2.5","1.5","","-142","120"
"401756930","Cincinnati","41","Baylor","20","Cincinnati -3.5","DraftKings","68.5","-3.5","-3.5","","-175","145"
"401756933","Texas Tech","42","Oklahoma State","0","Texas Tech -37.5","DraftKings","56.5","-37.5","-36.5","","",""
"401756929","Arizona State","16","Houston","24","Arizona State -7","DraftKings","46.5","-7","-7","","-298","240"
"401762859","Massachusetts","3","Northern Illinois","45","Northern Illinois -9.5","DraftKings","43.5","9.5","11.5","","285","-360"
"401762860","Miami (OH)","3","Toledo","24","Toledo -5.5","DraftKings","44.5","5.5","3","","190","-230"
"401752904","Oregon","42","Minnesota","13","Oregon -26.5","DraftKings","46.5","-26.5","-22.5","","-3600","1500"
"401752768","LSU","23","Arkansas","22","LSU -4","DraftKings","58.5","-4","-6.5","","-185","154"
"401752765","Alabama","21","Oklahoma","23","Alabama -6.5","DraftKings","45.5","-6.5","-12.5","56.5","-250","205"
"401752902","Washington","49","Purdue","13","Washington -14.5","DraftKings","51.5","-14.5","-16.5","","-750","525"
"401762844","Buffalo","16","Akron","24","Buffalo -10","DraftKings","48.5","-10","-10","","-395","310"
"401752887","Maryland","10","Indiana","55","Indiana -21","DraftKings","50.5","21","16.5","","1100","-2100"
"401754611","Pittsburgh","7","Miami","38","Miami -6.5","DraftKings","48.5","6.5","7.5","","205","-250"
"401756962","Baylor","24","Houston","31","Baylor -2.5","DraftKings","56.5","-2.5","-1.5","","-148","124"
"401756965","Kansas State","24","Colorado","14","Kansas State -16.5","DraftKings","49.5","-16.5","-16.5","","-800","550"
"401756966","Oklahoma State","13","Iowa State","20","Iowa State -14","DraftKings","46.5","14","16.5","","455","-625"
"401756963","BYU","41","UCF","21","BYU -17.5","DraftKings","46.5","-17.5","-18.5","","-1100","700"
"401754608","Syracuse","12","Boston College","34","Boston College -3","DraftKings","53.5","3","3","","120","-142"
"401752923","Michigan State","38","Maryland","28","Michigan State -4","DraftKings","49.5","-4","-4.5","","-192","160"
"401754613","Virginia","27","Virginia Tech","7","Virginia -8.5","DraftKings","52.5","-8.5","-10.5","","-340","270"
