"home","away","margin","week","site","FBS","home_conf","away_conf","home_AP","away_AP"
"UNM","NMSU",18,5,1,1,"MTNWEST","cUSA",NA,NA
"AFA","HAW",-9,5,1,1,"MTNWEST","MTNWEST",NA,NA
"TLSA","TULN",-17,5,1,1,"AMERICAN","AMERICAN",NA,NA
"KENN","MTSU",8,5,1,1,"cUSA","cUSA",NA,NA
"ODU","LIB",14,5,1,1,"SUNBELT","cUSA",NA,NA
"WMU","URI",33,5,1,0,"MAC",NA,NA,NA
"NCSU","VT",-2,5,1,1,"ACC","ACC",NA,NA
"USM","JVST",17,5,1,1,"SUNBELT","cUSA",NA,NA
"MOST","WKU",-5,5,1,1,"cUSA","cUSA",NA,NA
"FAU","MEM",-29,5,1,1,"AMERICAN","AMERICAN",NA,NA
"CSU","WSU",-17,5,1,1,"MTNWEST","PAC12",NA,NA
"STAN","SJSU",1,5,1,1,"ACC","MTNWEST",NA,NA
"BOIS","APP",33,5,1,0,"MTNWEST",NA,NA,NA
"SC","UK",22,5,1,1,"SEC","SEC",NA,NA
"UL","MRSH",3,5,1,1,"SUNBELT","SUNBELT",NA,NA
"UTEP","LT",-19,5,1,1,"cUSA","cUSA",NA,NA
"NMSU","SHSU",27,6,1,1,"cUSA","cUSA",NA,NA
"BYU","WVU",14,6,1,1,"BIG12","BIG12",23,NA
"DEL","WKU",-3,6,1,1,"cUSA","cUSA",NA,NA
"USF","CLT",28,6,1,1,"AMERICAN","AMERICAN",NA,NA
"SJSU","UNM",7,6,1,1,"MTNWEST","MTNWEST",NA,NA
"SDSU","CSU",21,6,1,1,"MTNWEST","MTNWEST",NA,NA
"OSU","MINN",39,6,1,1,"BIG10","BIG10",1,NA
"FSU","MIA",-6,6,1,1,"ACC","ACC",18,3
"OU","KENT",44,6,1,1,"SEC","MAC",5,NA
"TA&M","MSST",22,6,1,1,"SEC","SEC",6,NA
"UCLA","PSU",5,6,1,1,"BIG10","BIG10",NA,7
"FLA","TEX",8,6,1,1,"SEC","SEC",NA,9
"ALA","VAN",16,6,1,1,"SEC","SEC",10,16
"HOU","TTU",-24,6,1,1,"BIG12","BIG12",NA,11
"UGA","UK",21,6,1,1,"SEC","SEC",12,NA
"CIN","ISU",8,6,1,1,"BIG12","BIG12",NA,14
"MICH","WIS",14,6,1,1,"BIG10","BIG10",20,NA
"ND","BOIS",21,6,1,1,"ind","MTNWEST",21,NA
"PUR","ILL",-16,6,1,1,"BIG10","BIG10",NA,22
"LOU","UVA",-3,6,1,1,"ACC","ACC",NA,24
"PITT","BC",41,6,1,1,"ACC","ACC",NA,NA
"UNC","CLEM",-28,6,1,1,"ACC","ACC",NA,NA
"BAY","KSU",1,6,1,1,"BIG12","BIG12",NA,NA
"NAVY","AFA",3,6,1,1,"AMERICAN","MTNWEST",NA,NA
"UAB","ARMY",-18,6,1,1,"AMERICAN","AMERICAN",NA,NA
"BALL","OHIO",6,6,1,1,"MAC","MAC",NA,NA
"VT","WAKE",-7,6,1,1,"ACC","ACC",NA,NA
"TEM","UTSA",6,6,1,1,"AMERICAN","AMERICAN",NA,NA
"NCSU","CAM",46,6,1,0,"ACC",NA,NA,NA
"MASS","WMU",-18,6,1,1,"ind","MAC",NA,NA
"ARIZ","OKST",28,6,1,1,"BIG12","BIG12",NA,NA
"MD","WASH",-4,6,1,1,"BIG10","BIG10",NA,NA
"NU","ULM",35,6,1,1,"BIG10","SUNBELT",NA,NA
"APP","ORST",4,6,1,0,NA,"PAC12",NA,NA
"SMU","SYR",13,6,1,1,"ACC","ACC",NA,NA
"CONN","FIU",41,6,1,1,"ind","cUSA",NA,NA
"GAST","JMU",-7,6,1,1,"SUNBELT","SUNBELT",NA,NA
"AKR","CMU",6,6,1,1,"MAC","MAC",NA,NA
"BUFF","EMU",1,6,1,1,"MAC","MAC",NA,NA
"NIU","M-OH",-11,6,1,1,"MAC","MAC",NA,NA
"NEB","MSU",11,6,1,1,"BIG10","BIG10",NA,NA
"ARST","TXST",1,6,1,1,"SUNBELT","SUNBELT",NA,NA
"ODU","CCU",40,6,1,1,"SUNBELT","SUNBELT",NA,NA
"WYO","UNLV",-14,6,1,1,"MTNWEST","MTNWEST",NA,NA
"TROY","USA",7,6,1,1,"SUNBELT","SUNBELT",NA,NA
"RICE","FAU",-6,6,1,1,"AMERICAN","AMERICAN",NA,NA
